,Model_ds,AUC-ROC,AUC-PR,Applied_Threshold,Balanced_Accuracy,Brier_Score,Brier_Score_Bal,ECE,Calibration_Slope,Accuracy,Recall (Sens),Precision (PPV),Specificity,NPV,True_Positives,False_Positives,True_Negatives,False_Negatives
0,standard1/0%,0.6755939256193675,0.2589978427593759,0.11679357290267944,0.6347625993645194,0.1183742806315422,0.34641169986215853,0.015851063735676914,0.13564417340033555,0.5546318289786223,0.7479674796747967,0.21100917431192662,0.521557719054242,0.9236453201970444,184,688,750,62
1,standard1_mcdropout/0%,0.6750681275936543,0.2584250079087538,0.11749004572629929,0.6365011250947001,0.11838848888874054,0.34608378401198514,0.01764804650885617,0.13647406438843881,0.5576009501187649,0.7479674796747967,0.2122260668973472,0.5250347705146036,0.9241126070991432,184,683,755,62
2,standard1/10% MCAR,0.6770384567545258,0.25923592356861797,0.14766226708889008,0.6360007689089409,0.11829472333192825,0.3448765239101129,0.015131850899451559,0.13601536433356456,0.6603325415676959,0.6016260162601627,0.2379421221864952,0.6703755215577191,0.9077212806026366,148,474,964,98
3,standard1_mcdropout/10% MCAR,0.6774172574827277,0.25946209824623917,0.14820444583892822,0.6353053586168685,0.11828994005918503,0.34447468401505665,0.015447449604947466,0.1371298721008006,0.6591448931116389,0.6016260162601627,0.23717948717948717,0.6689847009735744,0.9075471698113208,148,476,962,98
4,standard1/20% MCAR,0.6762638940714858,0.2563334506030466,0.13232234120368958,0.6320657643294096,0.1185450404882431,0.3454408286189782,0.015525518425446085,0.13320321360163762,0.6104513064133017,0.6626016260162602,0.22146739130434784,0.6015299026425591,0.9124472573839663,163,573,865,83
5,standard1_mcdropout/20% MCAR,0.6771430509854472,0.256229497554393,0.15067842602729797,0.6342622431787601,0.11853696405887604,0.34499991562541965,0.010617032830742789,0.1344407597895816,0.6573634204275535,0.6016260162601627,0.23604465709728867,0.6668984700973575,0.9072847682119205,148,479,959,98
6,standard1/40% MCAR,0.6620984429593949,0.23150162053181067,0.11093203723430634,0.6235540554292887,0.12017728388309479,0.34732459627194406,0.01389147906460205,0.11838220011499367,0.5124703087885986,0.7804878048780488,0.20020855057351408,0.4666203059805285,0.9255172413793104,192,767,671,54
7,standard1_mcdropout/40% MCAR,0.6614906656716082,0.23072046752761144,0.11328350752592087,0.6250522971154607,0.1202065497636795,0.3469855504530091,0.013469460628254262,0.1187050510257886,0.5207838479809976,0.7723577235772358,0.20191285866099895,0.47774687065368565,0.9246298788694481,190,751,687,56
8,standard1/60% MCAR,0.6473478295283648,0.2201321986780456,0.13159166276454926,0.6138239650824882,0.1213999018073082,0.3464759261865796,0.02237653755527565,0.10476322810348712,0.5706650831353919,0.6747967479674797,0.20519159456118666,0.5528511821974965,0.9085714285714286,166,643,795,80
9,standard1_mcdropout/60% MCAR,0.6467061297873062,0.2203704767605048,0.13081450760364532,0.6120317288012935,0.12138446420431137,0.34614802843057907,0.02346910253352974,0.10522744008559931,0.5647268408551069,0.6788617886178862,0.20341047503045068,0.545201668984701,0.9084588644264194,167,654,784,79
10,standard1/10% Temporal,0.6697027262344947,0.24470864515038376,0.117257259786129,0.6343074731164557,0.1193031594157219,0.3473210915254655,0.020647416798278445,0.12776722833018145,0.5480997624703088,0.7560975609756098,0.20969560315670802,0.5125173852573018,0.9247176913425345,186,701,737,60
11,standard1_mcdropout/10% Temporal,0.6684617298189672,0.24465152662258877,0.1512795090675354,0.6303046236303809,0.11933480203151703,0.3470911151108755,0.02184989012007971,0.1281611803140083,0.6621140142517815,0.5853658536585366,0.23567921440261866,0.6752433936022253,0.9049394221808015,144,467,971,102
12,standard1/20% Temporal,0.6731204134016305,0.24936429213685296,0.15297406911849976,0.6361619005619821,0.11876536905765533,0.3451519995218149,0.017071470324029687,0.13072504765460094,0.6692399049881235,0.5894308943089431,0.24126455906821964,0.6828929068150209,0.9067405355493998,145,456,982,101
13,standard1_mcdropout/20% Temporal,0.6728914368420457,0.2495240697782407,0.1578139066696167,0.635975327068987,0.11874512583017349,0.3447334556668784,0.014675170234061622,0.13160484201668463,0.6775534441805225,0.5772357723577236,0.24440619621342513,0.6947148817802503,0.9057116953762466,142,439,999,104
14,standard1/40% Temporal,0.6767755577416692,0.2623565004122103,0.1397208869457245,0.6423357870574533,0.1180311068892479,0.33880860860279,0.016386631973565612,0.13329752527290045,0.6193586698337292,0.6747967479674797,0.22833562585969738,0.6098748261474269,0.9164054336468129,166,561,877,80
15,standard1_mcdropout/40% Temporal,0.6763119508802877,0.26135595205105566,0.1861533671617508,0.6387060845573684,0.11807821691036224,0.3385728051010765,0.012416066327563662,0.13374897078959114,0.7167458432304038,0.5284552845528455,0.26476578411405294,0.7489568845618915,0.9027661357921207,130,361,1077,116
16,standard1/60% Temporal,0.6493605617558262,0.22039106461810754,0.16651326417922974,0.6260247407759196,0.12168409675359726,0.3396451333396839,0.02916247450532016,0.10033507910464787,0.6490498812351544,0.5934959349593496,0.22919937205651492,0.6585535465924895,0.9044890162368673,146,491,947,100
17,standard1_mcdropout/60% Temporal,0.6493831767246742,0.220508397734115,0.16786587238311768,0.6249816253378111,0.12169495224952698,0.33929543631265713,0.03168368008377079,0.10103043217393676,0.6472684085510689,0.5934959349593496,0.228125,0.6564673157162726,0.9042145593869731,146,494,944,100
18,standard2/0%,0.675308411637663,0.25602075302363925,0.15249747037887573,0.6325208905774732,0.11893446743488312,0.3355717374261411,0.020923955447865634,0.16547653596062262,0.6169833729216152,0.6544715447154471,0.22330097087378642,0.6105702364394993,0.9117341640706127,161,560,878,85
19,standard2_mcdropout/0%,0.6745592907945769,0.2557021039150501,0.1530492752790451,0.6307823648472923,0.1190047636628151,0.3352759209044014,0.022265398242198944,0.16574685437739214,0.6140142517814727,0.6544715447154471,0.22176308539944903,0.6070931849791377,0.9112734864300627,161,565,873,85
20,standard2/10% MCAR,0.6769282087813924,0.24838017109461574,0.1946270912885666,0.6397774687065368,0.11926215142011642,0.3343009964489161,0.02294973004166913,0.16223470918768818,0.7387173396674585,0.5,0.27954545454545454,0.7795549374130737,0.9011254019292605,123,317,1121,123
21,standard2_mcdropout/10% MCAR,0.6759388038942976,0.24797806003248063,0.19250603020191193,0.6386806427174146,0.11934545636177063,0.33409526471950246,0.02479254662096854,0.16242235762710047,0.7339667458432304,0.5040650406504065,0.27555555555555555,0.7732962447844228,0.9011345218800648,124,326,1112,122
22,standard2/20% MCAR,0.6737211235116524,0.25478513036061534,0.17690229415893555,0.6332756651627712,0.11912938207387924,0.33493739669920775,0.020327360767455248,0.1625654021752935,0.6959619952494062,0.5447154471544715,0.250936329588015,0.721835883171071,0.9026086956521739,134,400,1038,112
23,standard2_mcdropout/20% MCAR,0.67474021054536,0.2554088058676225,0.17283570766448975,0.6316700023745718,0.11911133676767349,0.33448658108994767,0.022915516949022042,0.1643626193655909,0.6817102137767221,0.5609756097560976,0.24381625441696114,0.7023643949930459,0.9033989266547406,138,428,1010,108
24,standard2/40% MCAR,0.658087112860002,0.22388082535263093,0.1434384286403656,0.619517283489942,0.12139774858951569,0.33783577847937546,0.029873010248936828,0.13731265688104988,0.5314726840855107,0.7439024390243902,0.20132013201320131,0.4951321279554937,0.9187096774193548,183,726,712,63
25,standard2_mcdropout/40% MCAR,0.6593196286622115,0.2243253654857951,0.14344675838947296,0.621202098669109,0.12138308584690094,0.33736197468006623,0.031292045588501134,0.1390422089460908,0.5314726840855107,0.7479674796747967,0.20197585071350166,0.4944367176634214,0.9197930142302717,184,727,711,62
26,standard2/60% MCAR,0.6506383074957314,0.21850587889790707,0.17798851430416107,0.6274975406221378,0.1220889687538147,0.3362985553455187,0.03422461969738123,0.12709262697859247,0.6745843230403801,0.5609756097560976,0.23875432525951557,0.694019471488178,0.9023508137432188,138,440,998,108
27,standard2_mcdropout/60% MCAR,0.6492107375872089,0.21772004574838,0.17559970915317535,0.6266409986770243,0.12218505889177322,0.3361704574911553,0.03595936070959528,0.12676304358412224,0.6644893111638955,0.573170731707317,0.23460898502495842,0.6801112656467315,0.9030470914127424,141,460,978,105
28,standard2/10% Temporal,0.6669719687461131,0.23960106819957816,0.15332187712192535,0.625004240306659,0.12001872807741165,0.3360280408737046,0.029116452167213248,0.1525971867486447,0.5926365795724465,0.6707317073170732,0.21428571428571427,0.5792767732962448,0.9113785557986871,165,605,833,81
29,standard2_mcdropout/10% Temporal,0.6656094168730282,0.23937403582088018,0.16411888599395752,0.626906724560987,0.12010905146598816,0.3357832920991585,0.027085165586101332,0.15278362392487216,0.6419239904988123,0.6056910569105691,0.22748091603053436,0.6481223922114048,0.9057337220602527,149,506,932,97
30,standard2/20% Temporal,0.6715656342933387,0.24556835618223236,0.16269822418689728,0.6401986725013287,0.11953860521316528,0.3348363320937927,0.0314019340490856,0.15707609049616317,0.6502375296912114,0.6260162601626016,0.23655913978494625,0.6543810848400556,0.9109390125847048,154,497,941,92
31,standard2_mcdropout/20% Temporal,0.6710426631387316,0.24512728230345288,0.16454163193702698,0.6389152730192114,0.11962742358446121,0.33457073250124153,0.02779896383675925,0.15710237930685664,0.6538004750593824,0.6178861788617886,0.23712948517940718,0.6599443671766342,0.909875359539789,152,489,949,94
32,standard2/40% Temporal,0.6674073068964347,0.243520363889432,0.1782314032316208,0.635039632732906,0.11988610029220581,0.33189903665972004,0.032615019787200265,0.15365269572842843,0.6817102137767221,0.5691056910569106,0.24561403508771928,0.7009735744089013,0.9048473967684022,140,430,1008,106
